cords,emotion,x,y,dist
"(0.16, 0.91)",fear,0.16,0.91,0.67686583370633
"(0.35, 0.51)",anger,0.35,0.51,0.29122086910316536
"(0.3, 0.72)",fear,0.3,0.72,0.4846970939905471
"(0.26, 0.06)",fear,0.26,0.06,0.17911148280479303
"(0.21, 0.07)",fear,0.21,0.07,0.17200935142841908
"(0.04, 0.09)",joy,0.04,0.09,0.252914093433219
"(0.28, 0.27)",joy,0.28,0.27,0.04729553180244114
"(0.16, 0.34)",fear,0.16,0.34,0.13226303597422479
"(0.86, 0.44)",fear,0.86,0.44,0.6474132067972267
"(0.5, 0.33)",joy,0.5,0.33,0.27116263573874516
"(0.71, 0.08)",fear,0.71,0.08,0.49149032691839395
"(0.15, 0.98)",fear,0.15,0.98,0.7475679543355606
"(0.81, 0.58)",fear,0.81,0.58,0.6604166518507558
"(0.69, 0.68)",fear,0.69,0.68,0.6270559026838942
"(0.16, 0.69)",fear,0.16,0.69,0.459424023927833
"(0.4, 0.4)",fear,0.4,0.4,0.22404376489252492
"(0.27, 0.12)",joy,0.27,0.12,0.12112156604850416
"(0.44, 0.57)",fear,0.44,0.57,0.3847574117932938
"(0.51, 0.55)",fear,0.51,0.55,0.40915888503441006
"(0.37, 0.83)",fear,0.37,0.83,0.6046519661719529
"(0.59, 0.1)",fear,0.59,0.1,0.3719751855395021
"(0.11, 0.51)",fear,0.11,0.51,0.3031371176278492
"(0.23, 0.51)",joy,0.23,0.51,0.27193906181801414
"(0.75, 0.55)",fear,0.75,0.55,0.5935726372737241
"(0.19, 0.38)",fear,0.19,0.38,0.15176057763095563
"(0.67, 0.94)",fear,0.67,0.94,0.8203592596423369
"(0.22, 0.12)",joy,0.22,0.12,0.12102048685064291
"(0.43, 0.93)",fear,0.43,0.93,0.7159197323252597
"(0.31, 0.35)",joy,0.31,0.35,0.12921960566924384
"(0.84, 0.91)",fear,0.84,0.91,0.8973740713725978
"(0.1, 0.53)",fear,0.1,0.53,0.325497704201372
"(0.25, 0.45)",neutral,0.25,0.45,0.21160346917675182
"(0.61, 0.87)",fear,0.61,0.87,0.7295509301180884
"(0.64, 0.2)",fear,0.64,0.2,0.39711170530382867
"(0.1, 0.06)",joy,0.1,0.06,0.22978816678456268
"(0.78, 0.67)",neutral,0.78,0.67,0.6875408291905291
"(0.26, 0.01)",fear,0.26,0.01,0.22896959867782776
"(0.2, 0.78)",fear,0.2,0.78,0.5433847046601014
"(0.56, 0.5)",fear,0.56,0.5,0.4096115508298453
"(0.26, 0.62)",joy,0.26,0.62,0.3818428998889577
"(0.29, 0.54)",fear,0.29,0.54,0.3049139742027906
"(0.77, 0.45)",fear,0.77,0.45,0.5662425042525349
"(0.58, 0.85)",fear,0.58,0.85,0.6974011298097703
"(0.07, 0.1)",joy,0.07,0.1,0.22295962235929984
"(0.75, 0.31)",fear,0.75,0.31,0.5102842484161377
"(0.41, 0.66)",fear,0.41,0.66,0.45276981314141523
"(0.31, 0.47)",fear,0.31,0.47,0.2405554764675825
"(0.66, 0.73)",joy,0.66,0.73,0.6434580529683922
"(0.32, 0.93)",fear,0.32,0.93,0.6956200234171134
"(0.3, 0.41)",anger,0.3,0.41,0.18021494602012106
"(0.56, 0.38)",joy,0.56,0.38,0.3455609813101013
"(0.39, 0.6)",fear,0.39,0.6,0.38962302049250946
"(0.68, 0.7)",joy,0.68,0.7,0.6343940009547353
"(0.02, 0.26)",fear,0.02,0.26,0.22578490952770464
"(0.56, 0.55)",neutral,0.56,0.55,0.4432104113477899
"(0.19, 0.8)",fear,0.19,0.8,0.5642017197910593
"(0.32, 0.32)",fear,0.32,0.32,0.11095176385214564
"(0.07, 0.27)",fear,0.07,0.27,0.17757834925935798
"(0.35, 0.11)",fear,0.35,0.11,0.1660687368845616
"(0.63, 0.37)",sadness,0.63,0.37,0.40708216407439995
"(0.94, 0.23)",fear,0.94,0.23,0.6952962442933771
"(0.81, 0.74)",fear,0.81,0.74,0.7556735153054328
"(0.63, 0.64)",fear,0.63,0.64,0.5564590349147599
"(0.53, 0.17)",fear,0.53,0.17,0.2933454493309229
"(0.86, 0.61)",sadness,0.86,0.61,0.7187259124718862
"(0.84, 0.22)",fear,0.84,0.22,0.5955309790840065
"(0.1, 0.71)",fear,0.1,0.71,0.49325713537080224
"(0.97, 0.53)",fear,0.97,0.53,0.7816486612067073
"(0.28, 0.8)",fear,0.28,0.8,0.5626434364313201
"(0.07, 0.02)",fear,0.07,0.02,0.2797585375934893
"(0.54, 0.32)",fear,0.54,0.32,0.3062972187428325
"(0.55, 0.43)",fear,0.55,0.43,0.3603627933804366
"(0.3, 0.5)",fear,0.3,0.5,0.2673094645648713
"(0.51, 0.71)",fear,0.51,0.71,0.5410206104160074
"(0.54, 0.66)",fear,0.54,0.66,0.5146495312887679
"(0.32, 0.38)",fear,0.32,0.38,0.16029631713335674
"(1.0, 0.85)",anger,1.0,0.85,0.9717890358846093
"(0.67, 0.42)",neutral,0.67,0.42,0.46237356637347177
"(0.06, 0.28)",fear,0.06,0.28,0.1893672206363938
"(0.73, 0.91)",fear,0.73,0.91,0.8285085260985466
"(0.42, 0.36)",surprise,0.42,0.36,0.21326584788458336
"(0.16, 0.57)",fear,0.16,0.57,0.3422005303806692
"(0.92, 0.18)",fear,0.92,0.18,0.6777707805481433
"(0.34, 0.81)",fear,0.34,0.81,0.5794202071203461
"(0.79, 0.26)",fear,0.79,0.26,0.5456699995852409
"(0.35, 0.74)",fear,0.35,0.74,0.5124619858183583
"(0.4, 0.07)",fear,0.4,0.07,0.22908562585162862
"(0.52, 0.75)",anger,0.52,0.75,0.5808883480694731
"(0.44, 0.21)",joy,0.44,0.21,0.19730832121880215
"(0.37, 0.58)",fear,0.37,0.58,0.3637784620155209
"(0.96, 0.99)",neutral,0.96,0.99,1.0374898163725403
"(0.88, 0.27)",fear,0.88,0.27,0.6360271799398056
"(0.15, 0.11)",joy,0.15,0.11,0.15962745150045987
"(0.4, 0.69)",anger,0.4,0.69,0.47748080200100673
"(0.71, 0.73)",joy,0.71,0.73,0.6768033255343459
"(0.59, 0.85)",fear,0.59,0.85,0.7022629357760805
"(0.28, 0.5)",fear,0.28,0.5,0.2639025570853151
"(0.64, 0.16)",fear,0.64,0.16,0.4029573545255601
"(0.19, 0.47)",fear,0.19,0.47,0.23792476962225764
"(0.67, 0.26)",fear,0.67,0.26,0.42578986271236613
"(0.05, 0.18)",fear,0.05,0.18,0.20334049483308836
"(0.5, 0.39)",fear,0.5,0.39,0.2968396712122535
"(0.24, 0.43)",fear,0.24,0.43,0.19159748067551147
"(0.16, 0.11)",joy,0.16,0.11,0.15390197652215767
"(0.34, 0.19)",sadness,0.34,0.19,0.1068647936024419
"(0.64, 0.4)",fear,0.64,0.4,0.4269813709106048
"(0.52, 0.3)",fear,0.52,0.3,0.2820401700791324
"(0.65, 0.99)",fear,0.65,0.99,0.8538345102096654
"(0.13, 0.57)",fear,0.13,0.57,0.35083688186695255
"(0.45, 0.3)",fear,0.45,0.3,0.21427177089854882
"(0.47, 0.74)",fear,0.47,0.74,0.5497963515408559
"(0.27, 0.61)",fear,0.27,0.61,0.37239512089947474
"(0.7, 0.67)",fear,0.7,0.67,0.6272744462871409
"(0.19, 0.65)",fear,0.19,0.65,0.41516507819619236
"(0.85, 0.56)",joy,0.85,0.56,0.6853526070569838
"(0.13, 0.98)",fear,0.13,0.98,0.7503652818059111
"(0.32, 0.27)",surprise,0.32,0.27,0.08158705625315905
"(0.19, 0.84)",fear,0.19,0.84,0.6040253782236851
"(0.3, 0.08)",fear,0.3,0.08,0.1678155003378727
"(0.28, 0.66)",fear,0.28,0.66,0.42300929934042314
"(0.11, 0.29)",fear,0.11,0.29,0.14427469981530855
"(0.93, 0.48)",fear,0.93,0.48,0.726568099349821
"(0.23, 0.32)",fear,0.23,0.32,0.08286276581098623
"(0.49, 0.23)",fear,0.49,0.23,0.2453906836214366
"(0.37, 0.25)",fear,0.37,0.25,0.1257751359013108
"(0.88, 0.78)",fear,0.88,0.78,0.834745353021754
"(0.64, 0.62)",fear,0.64,0.62,0.5493541791791726
"(0.73, 0.31)",neutral,0.73,0.31,0.4904897796813225
"(0.46, 0.26)",fear,0.46,0.26,0.2163196939388977
"(0.05, 0.68)",fear,0.05,0.68,0.48258244723303684
"(0.29, 0.94)",fear,0.29,0.94,0.7029959465707531
"(0.2, 0.58)",anger,0.2,0.58,0.3444583467462517
"(0.5, 0.71)",fear,0.5,0.71,0.5361887781276423
"(0.05, 0.23)",fear,0.05,0.23,0.1949389724832143
"(0.17, 0.1)",joy,0.17,0.1,0.15735292895765443
"(0.34, 0.03)",fear,0.34,0.03,0.2291893898490609
"(0.98, 0.41)",fear,0.98,0.41,0.7549902607993709
"(0.21, 0.48)",fear,0.21,0.48,0.2440261367976058
"(0.16, 0.59)",joy,0.16,0.59,0.36161131267474167
"(0.35, 0.43)",fear,0.35,0.43,0.21854848605069113
"(0.12, 0.77)",fear,0.12,0.77,0.5459826070385535
"(0.47, 0.59)",joy,0.47,0.59,0.4175098677948798
"(0.88, 0.76)",fear,0.88,0.76,0.8219113491915501
"(0.24, 0.05)",fear,0.24,0.05,0.18852152087221297
"(0.84, 0.66)",fear,0.84,0.66,0.729390837070635
"(0.78, 0.92)",neutral,0.78,0.92,0.8665919585209818
"(0.93, 0.69)",neutral,0.93,0.69,0.8206383837226755
"(0.42, 0.88)",fear,0.42,0.88,0.6650430977567772
"(0.34, 0.53)",fear,0.34,0.53,0.3067021975106249
"(0.73, 0.73)",sadness,0.73,0.73,0.6907043735666801
"(0.61, 0.13)",fear,0.61,0.13,0.38100870929579145
"(0.69, 0.44)",fear,0.69,0.44,0.48873371436013274
"(0.89, 0.64)",fear,0.89,0.64,0.7599828486653752
"(0.2, 0.12)",fear,0.2,0.12,0.12663399238662748
"(0.85, 0.78)",sadness,0.85,0.78,0.8121484587664545
"(0.45, 0.07)",surprise,0.45,0.07,0.26552721046308586
"(0.19, 0.66)",neutral,0.19,0.66,0.42507977061302243
"(0.07, 0.21)",fear,0.07,0.21,0.17705777232604936
"(0.27, 0.49)",neutral,0.27,0.49,0.25280208721548103
"(0.18, 0.79)",fear,0.18,0.79,0.5553268553559468
"(0.51, 0.88)",fear,0.51,0.88,0.6942091743977359
"(0.42, 0.85)",fear,0.42,0.85,0.6361525085870703
"(0.27, 0.44)",joy,0.27,0.44,0.20311338987535393
"(0.44, 0.48)",fear,0.44,0.48,0.3105822642279356
"(0.93, 0.26)",fear,0.93,0.26,0.6855831677600379
"(0.19, 0.89)",fear,0.19,0.89,0.6538352267139727
"(0.2, 0.65)",fear,0.2,0.65,0.41396489858265234
"(0.22, 0.22)",joy,0.22,0.22,0.03088123289732678
"(0.61, 0.67)",fear,0.61,0.67,0.5653575638662521
"(0.88, 0.32)",fear,0.88,0.32,0.6404564152040544
"(0.7, 0.22)",fear,0.7,0.22,0.4556189368103831
"(0.3, 0.23)",sadness,0.3,0.23,0.05588900263190429
"(0.57, 0.81)",fear,0.57,0.81,0.6576019797962687
"(0.79, 0.31)",fear,0.79,0.31,0.549917807132305
"(0.29, 0.2)",fear,0.29,0.2,0.05938331262220226
"(0.36, 0.59)",joy,0.36,0.59,0.3699468117881973
"(0.18, 0.69)",fear,0.18,0.69,0.45615811290804886
"(0.6, 0.22)",fear,0.6,0.22,0.3557241410577484
"(0.67, 0.46)",fear,0.67,0.46,0.4794918057735713
"(0.73, 0.71)",sadness,0.73,0.71,0.6766173166588344
"(0.13, 0.47)",fear,0.13,0.47,0.2584159928689278
"(0.81, 0.83)",joy,0.81,0.83,0.8181805331410623
"(0.49, 0.74)",fear,0.49,0.74,0.5582882932476971
"(0.1, 0.01)",fear,0.1,0.01,0.2704602659178679
"(0.23, 0.05)",fear,0.23,0.05,0.18903827318053115
"(0.49, 0.25)",fear,0.49,0.25,0.24551604035120486
"(0.19, 0.79)",fear,0.19,0.79,0.554249773463571
"(0.37, 0.44)",surprise,0.37,0.44,0.23728463961160356
"(0.07, 0.15)",surprise,0.07,0.15,0.19586944467284262
"(0.71, 0.59)",fear,0.71,0.59,0.5831226047955785
"(0.72, 0.82)",fear,0.72,0.82,0.7510290005293856
"(0.6, 0.15)",fear,0.6,0.15,0.36609326669018133
"(0.66, 0.12)",fear,0.66,0.12,0.4318116983743623
"(0.94, 0.29)",fear,0.94,0.29,0.6971524099600395
"(0.87, 0.42)",fear,0.87,0.42,0.6510662155102392
"(0.12, 0.81)",fear,0.12,0.81,0.5849957983709734
"(0.42, 0.93)",fear,0.42,0.93,0.7133976226675951
"(0.92, 0.81)",fear,0.92,0.81,0.8846534307305324
"(0.48, 0.08)",fear,0.48,0.08,0.28363736362080794
"(0.55, 0.91)",fear,0.55,0.91,0.7376572821642001
"(0.15, 0.23)",joy,0.15,0.23,0.09513229757428565
"(0.53, 0.78)",anger,0.53,0.78,0.612069012220096
"(0.34, 0.1)",surprise,0.34,0.1,0.16805701721371064
"(0.74, 0.06)",fear,0.74,0.06,0.5264179787084562
"(0.41, 0.29)",fear,0.41,0.29,0.1730954712106892
"(0.69, 0.28)",fear,0.69,0.28,0.4471781925138391
"(0.79, 0.41)",fear,0.79,0.41,0.571591888421184
"(0.51, 0.95)",fear,0.51,0.95,0.7593693188649188
"(0.42, 0.53)",sadness,0.42,0.53,0.34015496291691405
"(0.73, 0.22)",anger,0.73,0.22,0.4855958205080736
"(0.91, 0.26)",fear,0.91,0.26,0.6655933365848085
"(0.01, 0.24)",fear,0.01,0.24,0.23476028583216582
"(0.44, 0.68)",fear,0.44,0.68,0.4827802061687449
"(0.55, 0.24)",fear,0.55,0.24,0.3052486322137019
"(0.24, 0.36)",joy,0.24,0.36,0.12163145146638007
"(0.16, 0.36)",surprise,0.16,0.36,0.14817236296508715
"(0.5, 0.15)",joy,0.5,0.15,0.27013946188392624
"(0.92, 0.96)",fear,0.92,0.96,0.9882171982741644
"(0.69, 0.66)",joy,0.69,0.66,0.6131374777561514
"(0.44, 0.82)",fear,0.44,0.82,0.6134390733390767
"(0.86, 0.34)",fear,0.86,0.34,0.6235672923011407
"(0.8, 0.46)",fear,0.8,0.46,0.5978093577116675
"(0.05, 0.41)",fear,0.05,0.41,0.25952851316696884
"(0.54, 0.21)",joy,0.54,0.21,0.29661342631636395
"(0.62, 0.13)",fear,0.62,0.13,0.39060534003536107
"(0.18, 0.45)",surprise,0.18,0.45,0.22122785184820384
"(0.95, 1.0)",joy,0.95,1.0,1.0379359292377355
"(0.49, 0.44)",fear,0.49,0.44,0.317431475210556
"(0.53, 0.49)",joy,0.53,0.49,0.38031062045093667
"(0.5, 0.22)",fear,0.5,0.22,0.25591153448471576
"(0.13, 0.61)",fear,0.13,0.61,0.38885677903465043
"(0.44, 0.54)",surprise,0.44,0.54,0.35922967338120415
"(0.66, 0.63)",fear,0.66,0.63,0.5707281083161946
"(0.62, 0.92)",fear,0.62,0.92,0.7780124040752238
"(0.78, 0.23)",fear,0.78,0.23,0.5353116341442189
"(0.92, 0.34)",fear,0.92,0.34,0.6828363923057609
"(0.98, 0.25)",fear,0.98,0.25,0.7353352882934386
"(0.68, 0.95)",fear,0.68,0.95,0.8341013003326319
"(0.55, 0.5)",fear,0.55,0.5,0.40196607750945335
"(0.6, 0.39)",joy,0.6,0.39,0.3862159259460306
"(0.37, 0.13)",fear,0.37,0.13,0.16568088013335283
"(0.78, 0.42)",fear,0.78,0.42,0.5651930298887005
"(0.62, 0.54)",fear,0.62,0.54,0.4813876505745432
"(0.41, 0.38)",joy,0.41,0.38,0.2175751944284403
"(0.1, 0.55)",fear,0.1,0.55,0.34352626377309536
"(0.66, 0.41)",fear,0.66,0.41,0.44928125995333806
"(0.66, 0.3)",fear,0.66,0.3,0.41977992925674446
"(0.58, 0.98)",anger,0.58,0.98,0.8137987072120133
"(0.17, 0.88)",fear,0.17,0.88,0.6458792025228499
"(0.47, 0.95)",fear,0.47,0.95,0.7463391869745217
"(0.64, 0.74)",fear,0.64,0.74,0.6385602907720251
"(0.59, 0.34)",fear,0.59,0.34,0.3598666422379387
"(0.82, 0.91)",fear,0.82,0.91,0.8842343771659424
"(0.86, 0.88)",fear,0.86,0.88,0.8888744042266684
"(0.17, 0.16)",joy,0.17,0.16,0.10837231951087893
"(0.22, 0.81)",fear,0.22,0.81,0.5720743266050694
"(0.18, 0.63)",fear,0.18,0.63,0.39685716396106163
"(0.71, 0.21)",fear,0.71,0.21,0.46611451538688403
"(0.58, 0.56)",fear,0.58,0.56,0.4645169837235626
"(1.0, 0.39)",fear,1.0,0.39,0.7702976993670395
"(0.28, 0.17)",joy,0.28,0.17,0.07700113649020651
"(0.34, 0.62)",neutral,0.34,0.62,0.3932469466312096
"(0.35, 0.73)",joy,0.35,0.73,0.5026793388216051
"(0.53, 0.39)",fear,0.53,0.39,0.32299918842016323
"(0.9, 0.45)",fear,0.9,0.45,0.6885449948883648
"(0.63, 0.23)",fear,0.63,0.23,0.38533766890446547
"(0.8, 0.5)",fear,0.8,0.5,0.6137581812821019
"(0.24, 0.55)",fear,0.24,0.55,0.31157475085512587
"(0.17, 0.07)",anger,0.17,0.07,0.1843031105522773
"(0.46, 0.62)",fear,0.46,0.62,0.43806609352186876
"(0.19, 0.26)",joy,0.19,0.26,0.05883912094559662
"(0.55, 0.26)",neutral,0.55,0.26,0.3060037024773954
"(0.52, 0.66)",fear,0.52,0.66,0.5034424990462746
"(0.46, 0.82)",fear,0.46,0.82,0.6200945790029898
"(0.46, 0.98)",fear,0.46,0.98,0.7721460966690196
"(0.37, 0.96)",fear,0.37,0.96,0.7323277955912969
"(0.61, 1.0)",fear,0.61,1.0,0.8445972765976504
"(0.25, 0.08)",fear,0.25,0.08,0.1585483100798461
"(0.17, 0.99)",fear,0.17,0.99,0.7552472481181339
"(0.35, 0.81)",fear,0.35,0.81,0.5811477191939068
"(0.63, 0.22)",fear,0.63,0.22,0.3856868546450063
"(0.09, 0.64)",fear,0.09,0.64,0.43032815603203356
"(0.74, 0.58)",fear,0.74,0.58,0.6015944550172455
"(0.13, 0.08)",joy,0.13,0.08,0.1956497517770819
"(0.9, 0.56)",joy,0.9,0.56,0.7298853824569169
"(0.4, 0.98)",fear,0.4,0.98,0.7576148256019231
"(0.97, 0.62)",fear,0.97,0.62,0.8194824907483752
"(0.19, 0.23)",joy,0.19,0.23,0.05540518442657559
"(0.35, 0.22)",joy,0.35,0.22,0.10685170522221578
"(0.29, 0.06)",fear,0.29,0.06,0.18410760056884393
"(0.16, 0.48)",fear,0.16,0.48,0.25597710818721325
"(0.18, 0.34)",surprise,0.18,0.34,0.12042965122804804
"(0.08, 0.25)",fear,0.08,0.25,0.165158792587725
"(0.57, 0.48)",fear,0.57,0.48,0.40512341232837623
"(0.19, 0.22)",joy,0.19,0.22,0.05778377999554567
"(0.32, 0.41)",joy,0.32,0.41,0.18731582148560053
"(0.48, 0.02)",fear,0.48,0.02,0.32103821993206205
"(0.56, 0.24)",fear,0.56,0.24,0.3152485092323689
"(0.39, 0.34)",anger,0.39,0.34,0.17721765740948753
"(0.12, 0.55)",fear,0.12,0.55,0.3355891597052749
"(0.23, 0.75)",fear,0.23,0.75,0.511751223624256
"(0.92, 0.71)",fear,0.92,0.71,0.8235921321841343
"(0.29, 0.1)",joy,0.29,0.1,0.1456663499587118
"(0.03, 0.26)",fear,0.03,0.26,0.21583262143459425
"(0.05, 0.38)",fear,0.05,0.38,0.24075452530399058
"(0.53, 0.32)",fear,0.53,0.32,0.29667000371574387
"(0.15, 0.14)",joy,0.15,0.14,0.13665003097269815
"(0.5, 0.34)",fear,0.5,0.34,0.27469973471329134
"(0.87, 0.79)",fear,0.87,0.79,0.8337419735849256
"(0.5, 0.73)",fear,0.5,0.73,0.5538591375535413
"(0.19, 0.63)",fear,0.19,0.63,0.39534858503871245
"(0.71, 0.6)",fear,0.71,0.6,0.5892051777219458
"(0.83, 0.69)",sadness,0.83,0.69,0.7391876661511703
"(0.06, 0.16)",surprise,0.06,0.16,0.20072546794645138
"(0.39, 0.29)",fear,0.39,0.29,0.15411765617170647
"(0.97, 0.54)",fear,0.97,0.54,0.7854332554692391
"(0.97, 0.33)",fear,0.97,0.33,0.7309987995550015
"(0.3, 0.17)",fear,0.3,0.17,0.08797138870436012
"(0.23, 0.64)",fear,0.23,0.64,0.40180947393318356
"(0.54, 0.3)",fear,0.54,0.3,0.30158986678609767
"(0.11, 0.62)",fear,0.11,0.62,0.4046363473814259
"(0.3, 0.18)",surprise,0.3,0.18,0.08043465957746607
"(0.98, 0.68)",fear,0.98,0.68,0.8576369063494594
"(0.62, 0.97)",neutral,0.62,0.97,0.8221661310518424
"(0.36, 0.33)",joy,0.36,0.33,0.1471755535143386
"(0.71, 0.16)",fear,0.71,0.16,0.4718144712707566
"(0.29, 0.62)",fear,0.29,0.62,0.3842117716966697
"(0.51, 0.52)",sadness,0.51,0.52,0.38680574648044447
"(0.59, 0.2)",fear,0.59,0.2,0.3473805276132203
"(0.61, 0.72)",fear,0.61,0.72,0.6043864832825346
"(0.17, 0.98)",fear,0.17,0.98,0.7452970123106928
"(0.29, 0.56)",fear,0.29,0.56,0.32470612886990374
"(0.87, 0.25)",fear,0.87,0.25,0.6253512133639372
"(0.07, 0.79)",fear,0.07,0.79,0.5785620711087779
"(0.51, 0.29)",joy,0.51,0.29,0.27020546479041013
"(0.47, 0.6)",fear,0.47,0.6,0.425963917411871
"(0.97, 0.94)",neutral,0.97,0.94,1.0090273376017997
"(0.9, 0.81)",fear,0.9,0.81,0.8694836986933744
"(0.09, 0.63)",fear,0.09,0.63,0.42101253264381694
"(0.28, 0.56)",fear,0.28,0.56,0.32346433346009484
"(0.4, 0.45)",fear,0.4,0.45,0.26239179625335685
"(0.39, 0.32)",fear,0.39,0.32,0.16656698243099688
"(0.85, 0.26)",fear,0.85,0.26,0.605627871779963
"(0.39, 0.25)",joy,0.39,0.25,0.14570235077301744
"(0.07, 0.12)",joy,0.07,0.12,0.21112207763315533
"(0.53, 0.77)",fear,0.53,0.77,0.6032393442816166
"(0.47, 0.77)",fear,0.47,0.77,0.5772939769822167
"(0.51, 0.87)",fear,0.51,0.87,0.6849785460780629
"(0.03, 0.3)",fear,0.03,0.3,0.22339829318597265
"(0.84, 0.98)",joy,0.84,0.98,0.9508920067953126
"(0.63, 0.67)",fear,0.63,0.67,0.5784798745250984
"(0.58, 0.63)",joy,0.58,0.63,0.5154526290388101
"(0.65, 0.62)",fear,0.65,0.62,0.5565922289131583
"(0.27, 0.13)",fear,0.27,0.13,0.11136068872277768
"(0.59, 0.64)",fear,0.59,0.64,0.5295536583942041
"(0.36, 0.36)",sadness,0.36,0.36,0.16749015267937284
"(0.33, 0.34)",fear,0.33,0.34,0.13257725094576317
"(0.22, 0.7)",fear,0.22,0.7,0.46220187539881524
"(0.21, 0.91)",fear,0.21,0.91,0.672437233028809
"(0.92, 0.41)",joy,0.92,0.41,0.6966928471518361
"(0.36, 0.91)",fear,0.36,0.91,0.6813554571124145
"(0.53, 0.26)",fear,0.53,0.26,0.28605677010006964
"(0.55, 0.97)",fear,0.55,0.97,0.7926682037993511
"(0.11, 0.59)",fear,0.11,0.59,0.37648142839969445
"(0.69, 0.2)",fear,0.69,0.2,0.4469028776074174
"(0.29, 0.37)",fear,0.29,0.37,0.13910231752585261
"(0.42, 0.22)",fear,0.42,0.22,0.17621450747075573
"(0.51, 0.26)",surprise,0.51,0.26,0.26611780382058975
"(0.77, 0.82)",fear,0.77,0.82,0.7836255707674702
"(0.65, 0.2)",fear,0.65,0.2,0.4070658442982044
"(0.85, 0.8)",fear,0.85,0.8,0.8256189542024007
"(0.56, 0.84)",fear,0.56,0.84,0.6791375239370776
"(0.93, 0.52)",fear,0.93,0.52,0.7408267543197183
"(0.57, 0.46)",fear,0.57,0.46,0.39352692506999964
"(0.89, 0.11)",fear,0.89,0.11,0.6579081706703219
"(0.41, 0.19)",joy,0.41,0.19,0.1722043839336218
"(1.0, 0.8)",fear,1.0,0.8,0.9411270286798125
"(0.2, 0.43)",fear,0.2,0.43,0.19669777370784491
"(0.89, 0.88)",fear,0.89,0.88,0.909896912734624
"(0.74, 0.41)",fear,0.74,0.41,0.5241114493926075
"(0.92, 0.31)",fear,0.92,0.31,0.6790237337272088
